시도명,시군구명,자치단체코드,과세년도,세목명,체납액구간,체납건수,체납금액,누적체납건수,누적체납금액
경상남도,거창군,48880,2017,등록면허세,10만원 미만,20,202370,58,582840
경상남도,거창군,48880,2017,자동차세,10만원 미만,117,5434810,347,16208910
경상남도,거창군,48880,2017,자동차세,10만원~30만원미만,87,14518990,226,37850170
경상남도,거창군,48880,2017,자동차세,30만원~50만원미만,5,1712710,9,3172220
경상남도,거창군,48880,2017,재산세,10만원 미만,358,5134060,1056,14767010
경상남도,거창군,48880,2017,재산세,10만원~30만원미만,15,2583980,38,7013920
경상남도,거창군,48880,2017,재산세,50만원~1백만원미만,1,622240,1,622240
경상남도,거창군,48880,2017,주민세,10만원 미만,302,4408910,713,10342100
경상남도,거창군,48880,2017,주민세,50만원~1백만원미만,1,696230,1,696230
경상남도,거창군,48880,2017,지방소득세,10만원 미만,14,484050,27,1195970
경상남도,거창군,48880,2017,지방소득세,10만원~30만원미만,4,990080,9,1897890
경상남도,거창군,48880,2017,지방소득세,1백만원~3백만원미만,1,1109760,2,3697450
경상남도,거창군,48880,2017,지방소득세,50만원~1백만원미만,6,5020470,8,6681420
경상남도,거창군,48880,2017,취득세,10만원 미만,2,85410,2,85410
경상남도,거창군,48880,2017,취득세,1천만원~3천만원미만,1,17837830,2,29800220
경상남도,거창군,48880,2017,취득세,5백만원~1천만원미만,1,7234250,1,7234250
경상남도,거창군,48880,2018,등록면허세,10만원 미만,24,253330,82,836170
경상남도,거창군,48880,2018,자동차세,10만원 미만,174,7932770,521,24141680
경상남도,거창군,48880,2018,자동차세,10만원~30만원미만,166,27537720,392,65387890
경상남도,거창군,48880,2018,자동차세,30만원~50만원미만,8,2572710,17,5744930
경상남도,거창군,48880,2018,재산세,10만원 미만,496,7153280,1552,21920290
경상남도,거창군,48880,2018,재산세,10만원~30만원미만,39,6759530,77,13773450
경상남도,거창군,48880,2018,재산세,1백만원~3백만원미만,4,7511390,5,8701910
경상남도,거창군,48880,2018,재산세,30만원~50만원미만,2,879140,2,879140
경상남도,거창군,48880,2018,재산세,3백만원~5백만원미만,1,3100210,1,3100210
경상남도,거창군,48880,2018,재산세,50만원~1백만원미만,6,4619560,7,5241800
경상남도,거창군,48880,2018,주민세,10만원 미만,471,7048550,1184,17390650
경상남도,거창군,48880,2018,주민세,10만원~30만원미만,1,101170,1,101170
경상남도,거창군,48880,2018,주민세,50만원~1백만원미만,1,748710,2,1444940
경상남도,거창군,48880,2018,지방소득세,10만원 미만,31,1101150,58,2297120
경상남도,거창군,48880,2018,지방소득세,10만원~30만원미만,8,1611500,17,3509390
경상남도,거창군,48880,2018,지방소득세,1백만원~3백만원미만,5,8545740,7,12243190
경상남도,거창군,48880,2018,지방소득세,1천만원~3천만원미만,1,13749200,1,13749200
경상남도,거창군,48880,2018,지방소득세,30만원~50만원미만,4,1615900,5,2090930
경상남도,거창군,48880,2018,지방소득세,3백만원~5백만원미만,4,14249740,4,14249740
경상남도,거창군,48880,2018,지방소득세,50만원~1백만원미만,5,4146210,13,10827630
경상남도,거창군,48880,2018,지방소득세,5백만원~1천만원미만,2,15447720,2,15447720
경상남도,거창군,48880,2018,취득세,10만원 미만,3,200670,5,286080
경상남도,거창군,48880,2018,취득세,10만원~30만원미만,1,224980,1,224980
경상남도,거창군,48880,2018,취득세,30만원~50만원미만,1,407220,1,407220
경상남도,거창군,48880,2019,등록면허세,10만원 미만,58,743590,140,1579760
경상남도,거창군,48880,2019,자동차세,10만원 미만,259,12333180,780,36474860
경상남도,거창군,48880,2019,자동차세,10만원~30만원미만,312,52262900,704,117650790
경상남도,거창군,48880,2019,자동차세,30만원~50만원미만,17,5653080,34,11398010
경상남도,거창군,48880,2019,자동차세,50만원~1백만원미만,1,537000,2,1100910
경상남도,거창군,48880,2019,재산세,10만원 미만,799,13165720,2351,35086010
경상남도,거창군,48880,2019,재산세,10만원~30만원미만,58,9931860,135,23705310
경상남도,거창군,48880,2019,재산세,1백만원~3백만원미만,7,11813680,12,20515590
경상남도,거창군,48880,2019,재산세,1천만원~3천만원미만,1,21857630,1,21857630
경상남도,거창군,48880,2019,재산세,30만원~50만원미만,6,2317510,8,3196650
경상남도,거창군,48880,2019,재산세,3백만원~5백만원미만,1,3603950,2,6704160
경상남도,거창군,48880,2019,재산세,50만원~1백만원미만,10,7062780,17,12304580
경상남도,거창군,48880,2019,재산세,5백만원~1천만원미만,1,9352960,2,15260800
경상남도,거창군,48880,2019,주민세,10만원 미만,694,11076220,1878,28466870
경상남도,거창군,48880,2019,주민세,10만원~30만원미만,2,291260,3,392430
경상남도,거창군,48880,2019,주민세,1백만원~3백만원미만,9,19610190,9,19610190
경상남도,거창군,48880,2019,주민세,30만원~50만원미만,1,410710,1,410710
경상남도,거창군,48880,2019,주민세,50만원~1백만원미만,1,952970,3,2397910
경상남도,거창군,48880,2019,지방소득세,10만원 미만,29,744680,87,3041800
경상남도,거창군,48880,2019,지방소득세,10만원~30만원미만,13,2233220,30,5742610
경상남도,거창군,48880,2019,지방소득세,1백만원~3백만원미만,18,37438040,25,49681230
경상남도,거창군,48880,2019,지방소득세,1천만원~3천만원미만,2,27409910,3,41159110
경상남도,거창군,48880,2019,지방소득세,30만원~50만원미만,6,2356680,11,4447610
경상남도,거창군,48880,2019,지방소득세,3백만원~5백만원미만,6,21618790,10,35868530
경상남도,거창군,48880,2019,지방소득세,50만원~1백만원미만,9,5682310,22,16509940
경상남도,거창군,48880,2019,지역자원시설세,10만원 미만,6,204780,7,215300
경상남도,거창군,48880,2019,취득세,1천만원~3천만원미만,2,36617111,4,66417331
경상남도,거창군,48880,2020,등록면허세,10만원 미만,133,2011520,273,3591280
경상남도,거창군,48880,2020,자동차세,10만원 미만,522,23150230,1302,59625090
경상남도,거창군,48880,2020,자동차세,10만원~30만원미만,351,60123010,1055,177773800
경상남도,거창군,48880,2020,자동차세,30만원~50만원미만,19,6458670,53,17856680
경상남도,거창군,48880,2020,자동차세,50만원~1백만원미만,1,520020,3,1620930
경상남도,거창군,48880,2020,재산세,10만원 미만,2065,39311580,4416,74397590
경상남도,거창군,48880,2020,재산세,10만원~30만원미만,234,37493280,369,61198590
경상남도,거창군,48880,2020,재산세,1백만원~3백만원미만,13,19708280,25,40223870
경상남도,거창군,48880,2020,재산세,30만원~50만원미만,27,9854480,35,13051130
경상남도,거창군,48880,2020,재산세,3백만원~5백만원미만,1,4342900,3,11047060
경상남도,거창군,48880,2020,재산세,50만원~1백만원미만,19,13697380,36,26001960
