주유소명,전화번호,재고유무,판매단가(원/리터),결제일자,결제시간,정제도로명주소,정제지번주소,정제WGS84위도,정제WGS84경도
달구지주유소,031-668-8065,Y,1500,2023-05-30,13:26:21,경기도 평택시 진위면 남부대로 613,경기도 평택시 진위면 동천리 606-129번지,37.1250216743,127.0984594676
(주)싸이먼(이천)주유소,031-632-3223,Y,1500,2023-03-27,08:10:33,경기도 이천시 진상미로 1848,경기도 이천시 대포동 760-6번지,37.2132466392,127.4520664683
SK화도주유소,031-594-2591,Y,1500,2023-05-16,12:10:33,경기도 남양주시 화도읍 경춘로 2198,경기도 남양주시 화도읍 월산리 365-5번지,37.6542973837,127.3318858494
푸른주유소,031-944-1348,Y,1500,2022-09-08,15:52:51,경기도 파주시 경의로 1571,경기도 파주시 하지석동 138-4번지,37.7555511841,126.7545913398
HD현대오일뱅크㈜직영 덕소셀프주유소,031-576-5189,Y,1500,2023-07-07,17:58:55,경기도 남양주시 와부읍 덕소로 256,경기도 남양주시 와부읍 도곡리 1040-8번지,37.5786166861,127.2244766568
하늘에너지(주) 행정타운주유소,031-292-5120,Y,1500,2023-06-21,12:50:45,경기도 수원시 권선구 권선로 98,경기도 수원시 권선구 호매실동 1395번지,37.2609675726,126.9631528186
태영주유소,031-281-8917,Y,1500,2022-06-14,17:53:48,경기도 용인시 기흥구 중부대로 859,경기도 용인시 기흥구 상하동 64-5번지,37.2526519475,127.1464855929
(주)삼호에너지 행복나라주유소 선재지점,070-4910-4008,Y,1500,2023-05-24,11:34:35,경기도 파주시 파주로 63,경기도 파주시 문발동 233-6번지,37.7250916738,126.6963329241
성일유니온주유소,031-774-3014,Y,1500,2023-07-10,16:56:56,경기도 양평군 양평읍 경강로 2029,경기도 양평군 양평읍 공흥리 113번지,37.5010245142,127.5049554060
포천IC주유소,031-534-7877,Y,1500,2023-03-21,10:56:30,경기도 포천시 군내면 포천로 1329,경기도 포천시 군내면 용정리 47-8번지,37.8788875453,127.2140262035
(주)안성맞춤에너지,031-677-0146,Y,1500,2023-01-03,09:33:53,경기도 안성시 대덕면 중앙로 55,경기도 안성시 대덕면 건지리 351번지,37.0136651992,127.2354098851
믿음주유소,031-833-6507,Y,1500,2023-06-28,08:27:55,경기도 연천군 전곡읍 양연로 1140,경기도 연천군 전곡읍 양원리 380-2번지,37.9973917091,127.0318259626
까르르주유소,031-534-4355,Y,1500,2023-07-10,16:37:03,경기도 포천시 내촌면 금강로 2368,경기도 포천시 내촌면 내리 506-2번지,37.7888591867,127.2270142394
서안산주유소,031-498-5181,Y,1500,2023-05-30,19:59:38,경기도 안산시 단원구 시흥대로 65,경기도 안산시 단원구 선부동 150-5번지,37.3496284688,126.7964923005
지에스칼텍스(주)남동주유소,031-323-5202,Y,1500,2023-06-08,12:45:49,경기도 용인시 처인구 백옥대로 993,경기도 용인시 처인구 남동 178-7번지,37.2244665270,127.2100568579
뛰뛰빵빵주유소,031-636-0044,Y,900,2023-07-10,14:44:56,경기도 이천시 호법면 이섭대천로 866,경기도 이천시 호법면 유산리 356번지,37.2481984661,127.4414677017
